sample,patient,component,n_qualifying_centers,n_tumor_in_union,n_tf_candidates_in_union,n_nuclear_supported_candidates,center_x_um,center_y_um,mean_candidate_fraction_at_centers,stromal_fraction_in_union,myoepithelial_fraction_in_union,median_candidate_transcripts
NCBI785,P07,0,40,221,18,0,869.7252281951903,4437.152807006836,0.12637464556245018,0.24481327800829875,0.0,359.0
NCBI785,P07,1,16,114,9,0,2776.0568099975585,1699.2281311035154,0.11218843096080999,0.20703125,0.0,357.0
NCBI785,P07,2,1,59,6,0,291.1569839477539,659.7465087890624,0.1016949152542373,0.20851063829787234,0.029787234042553193,287.5
NCBI785,P07,3,1,43,5,0,307.11925659179684,1210.539453125,0.11627906976744186,0.1276595744680851,0.0,422.0
NCBI785,P07,4,47,254,18,2,332.5283117091402,3097.1585885555187,0.11797477878720426,0.2334047109207709,0.0,470.5
NCBI785,P07,5,29,332,29,5,409.88609940101355,3999.2215912917563,0.10611095795001678,0.24217462932454695,0.0,424.0
NCBI785,P07,6,10,115,11,1,290.6695491027832,3543.887672119141,0.12361455604381652,0.34951456310679613,0.0,325.0
NCBI785,P07,7,18,137,11,2,175.36161944071455,3829.9223402235243,0.1107725157357016,0.2691131498470948,0.0,448.0
NCBI785,P07,8,6,95,9,1,1514.9839558919273,1337.402990722656,0.10440695564736487,0.26881720430107525,0.0,247.0
NCBI785,P07,9,54,213,17,0,1143.9776614718967,1126.7312743010345,0.12817381193796606,0.22851153039832284,0.06079664570230608,422.0
NCBI785,P07,10,1,70,7,2,906.7411315917968,1672.7358764648436,0.1,0.20833333333333334,0.0,318.0
NCBI785,P07,11,1,60,6,3,2873.9402709960937,376.03688201904293,0.1,0.22,0.0,377.0
NCBI784,P07,0,70,374,30,3,636.6258899361746,1476.9195544433592,0.11911936205343755,0.2427536231884058,0.0012077294685990338,321.5
NCBI784,P07,1,158,791,62,12,679.4317783597149,2184.088043521929,0.12252383644470113,0.22455679579776758,0.003282994090610637,399.0
NCBI784,P07,2,126,393,32,4,1106.5063579256573,2627.890822250124,0.11236144310826261,0.27696793002915454,0.0009718172983479105,424.5
NCBI784,P07,3,18,103,9,2,1055.142827351888,3460.5047980414497,0.16515988041378168,0.17135549872122763,0.29411764705882354,329.0
NCBI784,P07,4,50,240,20,3,464.2920842285156,1141.6827564697264,0.11254334973812458,0.2697095435684647,0.0,388.0
NCBI784,P07,5,7,86,8,0,331.33225010463167,1623.7051182338166,0.10989796962054353,0.3459715639810427,0.0,303.5
NCBI784,P07,6,2,56,6,0,5416.495715332031,1742.2839721679686,0.1097952629466078,0.3137254901960784,0.20098039215686275,323.0
NCBI783,P08,0,331,627,74,13,2825.266270903158,2271.982372456807,0.14077481694307498,0.22031963470319635,0.0228310502283105,400.0
