panel,donor,n_cells,partial_rho_adjusting_depth_and_detection
panel313,CID3921,441,0.5707962938172205
panel313,CID3941,196,0.3314050596713842
panel313,CID3948,261,0.2744530780742211
panel313,CID3963,222,0.4307558873413781
panel313,CID4066,521,0.44607269082064455
panel313,CID4067,2352,0.23565500812256007
panel313,CID4290A,4053,0.19883527220791236
panel313,CID4461,207,0.15572700920978425
panel313,CID4463,659,0.32933483078630665
panel313,CID4465,124,0.25313606193415383
panel313,CID4471,212,0.15501138922738028
panel313,CID4495,1184,0.2548020881035157
panel313,CID4513,1058,0.8023218447108201
panel313,CID4515,2169,0.5901219393255233
panel313,CID4523,1167,0.3546100602703771
panel313,CID4530N,1715,0.15847059353220277
panel313,CID4535,2223,0.18052583555328888
panel313,CID44971,894,0.35489180420767413
panel313,CID44991,4018,0.31900574232930545
panel313,CID45171,813,0.14246988782173803
panel280,CID3921,441,0.5721126328848734
panel280,CID3941,196,0.28690699114842777
panel280,CID3948,261,0.3057493190603374
panel280,CID3963,222,0.3910755514895871
panel280,CID4066,521,0.4175064527041196
panel280,CID4067,2352,0.21959052278173302
panel280,CID4290A,4053,0.19802048090736346
panel280,CID4461,207,0.13857873940156562
panel280,CID4463,659,0.3247847095622882
panel280,CID4465,124,0.252810592662827
panel280,CID4471,212,0.136276777199563
panel280,CID4495,1184,0.24587661152806248
panel280,CID4513,1058,0.7885498064182861
panel280,CID4515,2169,0.5837437876335456
panel280,CID4523,1167,0.32926388089872877
panel280,CID4530N,1715,0.18327265228489323
panel280,CID4535,2223,0.16309975992374773
panel280,CID44971,894,0.36576952784822636
panel280,CID44991,4018,0.3176703999366728
panel280,CID45171,813,0.13356345548167292
