panel,donor,n_test,n_train,rho_learned,rho_direct,rho_depth,rmse
panel313,CID3921,441,21977,0.7251948331780266,0.4704031224808418,0.5264789500750628,0.04602705207360918
panel313,CID3941,196,22222,0.6338053534572752,0.43376566485819307,0.5852913742604893,0.038918019075011356
panel313,CID3948,261,22157,0.45130364940841383,0.24764900032140758,0.39037411679665457,0.035926397440770065
panel313,CID3963,222,22196,0.6914763108379569,0.5599934163032428,0.5782515144894701,0.05837637118207539
panel313,CID4066,521,21897,0.6909496971579173,0.47821823825075876,0.6073344214661678,0.03886035122447922
panel313,CID4067,2352,20066,0.4389450204586386,0.2285113589954844,0.5886779886730308,0.05930419472742744
panel313,CID4290A,4053,19418,0.42874399983218064,0.2544641752713169,0.5735736362572186,0.036331993909655386
panel313,CID4461,207,22211,0.3392646469894254,0.31199282284861024,0.5716467828239661,0.0627840454745528
panel313,CID4463,659,21759,0.4758863710789581,0.21928917981217325,0.40900654712565626,0.04007963633663109
panel313,CID4465,124,22294,0.45080094413847366,0.29208189823283703,0.5237184066694909,0.052157024103371426
panel313,CID4471,212,22206,0.27479587351525764,0.2973857006653926,0.4241455605230862,0.06118639667662683
panel313,CID4495,1184,21234,0.4842677829289319,0.4901924584801655,0.4466947296066723,0.05547074659908993
panel313,CID44971,894,21524,0.552386499791768,0.5518439355373411,0.47744500125256206,0.04538747252023665
panel313,CID44991,4018,19418,0.5035004426943914,0.2932923281223108,0.4255923264728683,0.042226326549289345
panel313,CID4513,1058,21360,0.8972428497414358,0.883414334510155,0.6659371317179625,0.2775185942959903
panel313,CID4515,2169,20249,0.7813431451139569,0.6866141587729551,0.5856768285015187,0.060483110055111575
panel313,CID45171,813,21605,0.5692528069420804,0.5216983943517145,0.7000673204761161,0.041285626885439165
panel313,CID4523,1167,21251,0.71021014468286,0.6477426793667111,0.6665998168292059,0.043251736960482484
panel313,CID4530N,1715,20703,0.3922793587713932,0.26094424857486986,0.5009208354981793,0.03781009547265172
panel313,CID4535,2223,20195,0.4793836696604737,0.45304291513170813,0.5498380902011105,0.04769072468573676
panel280,CID3921,441,21977,0.7273562571881901,0.4729787777916506,0.5266999475804284,0.045103814808563514
panel280,CID3941,196,22222,0.5974483819298902,0.3970315487336447,0.5874055046281434,0.03945752716177933
panel280,CID3948,261,22157,0.4857560356639062,0.2688352071483071,0.39186708778529905,0.03473831273526366
panel280,CID3963,222,22196,0.6665436412205076,0.5597131652027428,0.5787949839579752,0.05717396908406942
panel280,CID4066,521,21897,0.675062070323173,0.47695161076152587,0.607203747096049,0.04010689954606131
panel280,CID4067,2352,20066,0.4252704010071863,0.23645730400854184,0.58892497348757,0.06106676229109021
panel280,CID4290A,4053,19418,0.43754701313375594,0.2488690578081866,0.5741037318311232,0.0360078948300259
panel280,CID4461,207,22211,0.3268337825112836,0.31303449237757597,0.572704112697361,0.0634370427331834
panel280,CID4463,659,21759,0.478181751093642,0.23507720547950942,0.41233976078344836,0.03922401594190258
panel280,CID4465,124,22294,0.4581841070023603,0.2901700553763234,0.5242660087075804,0.05279407646775739
panel280,CID4471,212,22206,0.26084738782331834,0.29079673586992505,0.4270517583441622,0.06077797983612559
panel280,CID4495,1184,21234,0.46568782608217857,0.4885271575028622,0.4466409434838585,0.057646075909856
panel280,CID44971,894,21524,0.5625928031935571,0.555414772423848,0.4767226073978516,0.0458035839791017
panel280,CID44991,4018,19418,0.49163148000410456,0.2940456886832745,0.42527446170892125,0.03856115259876759
panel280,CID4513,1058,21360,0.8900305044037948,0.8771968686259392,0.6635540856583201,0.2763612945004157
panel280,CID4515,2169,20249,0.7778330754510482,0.680075365607648,0.5854349278784923,0.06361525094921151
panel280,CID45171,813,21605,0.563918061627694,0.5243499742217301,0.700438910120873,0.04206741318252079
panel280,CID4523,1167,21251,0.6952443790265816,0.6468262465937064,0.6663794211336885,0.04310490885950344
panel280,CID4530N,1715,20703,0.41797547581368694,0.2863304385549202,0.5006768304540175,0.038236935164514034
panel280,CID4535,2223,20195,0.48180919437587894,0.45587709751736116,0.5492896160008583,0.05042237569126688
