sample,patient,minimum_tumor_cells,n_spots,score,spearman,partial_spearman,interpretation
NCBI785,P07,5,1570,D_cond,0.07273286331328688,-0.00577009011602662,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,5,1570,disjoint_D_cond,0.07552831020237778,-0.0025622309988598078,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,5,1570,signed_tf_residual,0.23895791681099773,0.17054510632677247,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,5,1570,observed_tf,0.2467779372081236,0.18537671744451303,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,5,1570,predicted_tf,0.18890281636780323,0.08825008063465622,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,5,1570,signed_epithelial_residual,0.05339341168250031,-0.04545058391555734,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,20,1095,D_cond,0.08779517034414171,0.007779681310356214,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,20,1095,disjoint_D_cond,0.08633228065105797,0.008172854619408493,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,20,1095,signed_tf_residual,0.3428903992254695,0.21999173790862314,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,20,1095,observed_tf,0.38815807514078354,0.25241983531585216,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,20,1095,predicted_tf,0.3252777634568418,0.11418771159615748,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI785,P07,20,1095,signed_epithelial_residual,0.05052900103145559,-0.017472726522570776,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,5,936,D_cond,0.08951562784921425,0.028569464017706738,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,5,936,disjoint_D_cond,0.08782817059757654,0.025638530686878897,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,5,936,signed_tf_residual,0.2772941095328858,0.223004575334798,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,5,936,observed_tf,0.22457801976254563,0.18350956811118244,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,5,936,predicted_tf,0.11449791612229573,0.01190808167816422,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,5,936,signed_epithelial_residual,0.09393072458063292,0.02880661460984673,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,20,608,D_cond,0.0894115883175525,0.04363458814839954,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,20,608,disjoint_D_cond,0.09756984269326223,0.06035437981167234,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,20,608,signed_tf_residual,0.3631721395653409,0.21252427759774054,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,20,608,observed_tf,0.36678351009500654,0.19712758161427058,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,20,608,predicted_tf,0.25448702480014485,0.013808139622579667,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI784,P07,20,608,signed_epithelial_residual,0.08908661504739737,0.06413644556123957,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,5,728,D_cond,-0.29739622548487926,0.006089328225468229,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,5,728,disjoint_D_cond,-0.2857807454584245,-0.011927751491894942,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,5,728,signed_tf_residual,0.36317601727899285,0.15725406043978102,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,5,728,observed_tf,0.4666247635239301,0.23642166027485306,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,5,728,predicted_tf,0.33927647344899553,0.104205603815962,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,5,728,signed_epithelial_residual,0.06417058591803183,-0.07383924443854062,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,20,201,D_cond,-0.34694031812389514,-0.006566448097987368,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,20,201,disjoint_D_cond,-0.316617491047465,-0.021150988297148326,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,20,201,signed_tf_residual,0.41780880209162063,0.2266801965498877,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,20,201,observed_tf,0.5027094968587575,0.318816812255956,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,20,201,predicted_tf,0.3773824718530327,0.1843176401830088,"Descriptive within-section TF coexpression association, not independent EMT validation"
NCBI783,P08,20,201,signed_epithelial_residual,-0.1425083570065026,-0.0695740925474349,"Descriptive within-section TF coexpression association, not independent EMT validation"
