sample,patient,label,source_group,n_cells,n_tf_epithelial_coexpression,fraction_tf_epithelial_coexpression,n_nuclear_coexpression,median_transcripts,mean_measured_hallmark,mean_reference_projection
NCBI785,P07,B_Cells,Other non-tumor,4933,388,0.07865396310561525,23,104.0,1.212962600239357,0.3085601143778831
NCBI785,P07,CD4+_T_Cells,Other non-tumor,8154,192,0.0235467255334805,13,70.0,0.7809567889324098,0.2553979052013499
NCBI785,P07,CD8+_T_Cells,Other non-tumor,6849,561,0.08190976784932107,54,96.0,0.9893597802282617,0.3095408134592428
NCBI785,P07,DCIS_1,Tumor,11521,67,0.005815467407343113,13,201.0,0.5924804908645804,0.21017008734528214
NCBI785,P07,DCIS_2,Tumor,12856,147,0.011434349719975109,19,272.0,0.8027570763359586,0.22763088665917355
NCBI785,P07,Endothelial,Other non-tumor,8894,3897,0.4381605576793344,671,150.0,1.7999636346542196,0.4730587404606615
NCBI785,P07,IRF7+_DCs,Other non-tumor,489,59,0.12065439672801637,6,123.0,1.3005335164281122,0.3010350613684041
NCBI785,P07,Invasive_Tumor,Tumor,34016,830,0.024400282220131703,92,216.0,0.7678264043384777,0.21569447997290242
NCBI785,P07,LAMP3+_DCs,Other non-tumor,293,36,0.12286689419795221,7,76.0,1.0477859460477477,0.3226038599622361
NCBI785,P07,Macrophages_1,Other non-tumor,11015,1466,0.13309123921924648,132,126.0,1.2609693828721162,0.36935371885155377
NCBI785,P07,Macrophages_2,Other non-tumor,1613,182,0.11283323000619963,6,127.0,1.5738106821912838,0.445871267272857
NCBI785,P07,Mast_Cells,Other non-tumor,163,28,0.17177914110429449,1,115.0,1.3833976375134023,0.3521043017637016
NCBI785,P07,Myoepi_ACTA2+,Myoepithelial,7045,923,0.13101490418736692,73,169.0,1.9135649602728972,0.41972450664042593
NCBI785,P07,Myoepi_KRT15+,Myoepithelial,2851,33,0.011574886004910558,6,188.0,1.0429634673056465,0.2910557680228728
