sample,patient,null,component,n_centers,p_extent_scan_section,p_extent_three_sections,p_extent_two_statistics_three_sections
NCBI785,P07,global,0,40,0.0085,0.025500000000000002,0.051000000000000004
NCBI785,P07,global,1,16,0.0565,0.1695,0.339
NCBI785,P07,global,2,1,0.5205,1.0,1.0
NCBI785,P07,global,3,1,0.5205,1.0,1.0
NCBI785,P07,global,4,47,0.0045,0.013499999999999998,0.026999999999999996
NCBI785,P07,global,5,29,0.018,0.05399999999999999,0.10799999999999998
NCBI785,P07,global,6,10,0.1,0.30000000000000004,0.6000000000000001
NCBI785,P07,global,7,18,0.047,0.14100000000000001,0.28200000000000003
NCBI785,P07,global,8,6,0.166,0.498,0.996
NCBI785,P07,global,9,54,0.0015,0.0045000000000000005,0.009000000000000001
NCBI785,P07,global,10,1,0.5205,1.0,1.0
NCBI785,P07,global,11,1,0.5205,1.0,1.0
NCBI785,P07,technical,0,40,0.2005,0.6015,1.0
NCBI785,P07,technical,1,16,0.6995,1.0,1.0
NCBI785,P07,technical,2,1,1.0,1.0,1.0
NCBI785,P07,technical,3,1,1.0,1.0,1.0
NCBI785,P07,technical,4,47,0.1405,0.42150000000000004,0.8430000000000001
NCBI785,P07,technical,5,29,0.3885,1.0,1.0
NCBI785,P07,technical,6,10,0.8645,1.0,1.0
NCBI785,P07,technical,7,18,0.6475,1.0,1.0
NCBI785,P07,technical,8,6,0.9585,1.0,1.0
NCBI785,P07,technical,9,54,0.0925,0.27749999999999997,0.5549999999999999
NCBI785,P07,technical,10,1,1.0,1.0,1.0
NCBI785,P07,technical,11,1,1.0,1.0,1.0
NCBI785,P07,context,0,40,0.655,1.0,1.0
NCBI785,P07,context,1,16,0.983,1.0,1.0
NCBI785,P07,context,2,1,1.0,1.0,1.0
NCBI785,P07,context,3,1,1.0,1.0,1.0
NCBI785,P07,context,4,47,0.5315,1.0,1.0
NCBI785,P07,context,5,29,0.8685,1.0,1.0
NCBI785,P07,context,6,10,0.998,1.0,1.0
NCBI785,P07,context,7,18,0.975,1.0,1.0
NCBI785,P07,context,8,6,1.0,1.0,1.0
NCBI785,P07,context,9,54,0.4155,1.0,1.0
NCBI785,P07,context,10,1,1.0,1.0,1.0
NCBI785,P07,context,11,1,1.0,1.0,1.0
NCBI784,P07,global,0,70,0.0005,0.0015,0.003
NCBI784,P07,global,1,158,0.0005,0.0015,0.003
NCBI784,P07,global,2,126,0.0005,0.0015,0.003
NCBI784,P07,global,3,18,0.0315,0.0945,0.189
NCBI784,P07,global,4,50,0.0035,0.0105,0.021
NCBI784,P07,global,5,7,0.157,0.471,0.942
NCBI784,P07,global,6,2,0.385,1.0,1.0
NCBI784,P07,technical,0,70,0.029,0.08700000000000001,0.17400000000000002
NCBI784,P07,technical,1,158,0.0005,0.0015,0.003
NCBI784,P07,technical,2,126,0.0025,0.0075,0.015
NCBI784,P07,technical,3,18,0.598,1.0,1.0
NCBI784,P07,technical,4,50,0.095,0.28500000000000003,0.5700000000000001
NCBI784,P07,technical,5,7,0.8905,1.0,1.0
NCBI784,P07,technical,6,2,0.9895,1.0,1.0
NCBI784,P07,context,0,70,0.2135,0.6405,1.0
NCBI784,P07,context,1,158,0.007,0.021,0.042
NCBI784,P07,context,2,126,0.0175,0.052500000000000005,0.10500000000000001
NCBI784,P07,context,3,18,0.9655,1.0,1.0
NCBI784,P07,context,4,50,0.4605,1.0,1.0
NCBI784,P07,context,5,7,0.999,1.0,1.0
NCBI784,P07,context,6,2,1.0,1.0,1.0
NCBI783,P08,global,0,331,0.02,0.06,0.12
NCBI783,P08,global,1,139,0.689,1.0,1.0
NCBI783,P08,global,2,248,0.111,0.333,0.666
NCBI783,P08,global,3,89,0.9865,1.0,1.0
NCBI783,P08,global,4,261,0.0865,0.25949999999999995,0.5189999999999999
NCBI783,P08,global,5,137,0.706,1.0,1.0
NCBI783,P08,global,6,121,0.8525,1.0,1.0
NCBI783,P08,global,7,41,1.0,1.0,1.0
NCBI783,P08,global,8,93,0.9775,1.0,1.0
NCBI783,P08,global,9,134,0.738,1.0,1.0
NCBI783,P08,global,10,6,1.0,1.0,1.0
NCBI783,P08,global,11,62,0.9995,1.0,1.0
NCBI783,P08,global,12,5,1.0,1.0,1.0
NCBI783,P08,global,13,4,1.0,1.0,1.0
NCBI783,P08,global,14,16,1.0,1.0,1.0
