sample,patient,null,component,n_centers,p_extent_scan_section,p_extent_three_sections,p_extent_two_statistics_three_sections,n_qualifying_centers,n_tumor_in_union,n_tf_candidates_in_union,n_nuclear_supported_candidates,center_x_um,center_y_um,mean_candidate_fraction_at_centers,stromal_fraction_in_union,myoepithelial_fraction_in_union,median_candidate_transcripts
NCBI785,P07,global,0,40,0.0085,0.0255,0.051,40,221,18,0,869.7252281951903,4437.152807006836,0.1263746455624501,0.2448132780082987,0.0,359.0
NCBI785,P07,global,1,16,0.0565,0.1695,0.339,16,114,9,0,2776.0568099975585,1699.2281311035154,0.1121884309608099,0.20703125,0.0,357.0
NCBI785,P07,global,2,1,0.5205,1.0,1.0,1,59,6,0,291.1569839477539,659.7465087890624,0.1016949152542373,0.2085106382978723,0.0297872340425531,287.5
NCBI785,P07,global,3,1,0.5205,1.0,1.0,1,43,5,0,307.11925659179684,1210.539453125,0.1162790697674418,0.1276595744680851,0.0,422.0
NCBI785,P07,global,4,47,0.0045,0.0134999999999999,0.0269999999999999,47,254,18,2,332.5283117091402,3097.1585885555187,0.1179747787872042,0.2334047109207709,0.0,470.5
NCBI785,P07,global,5,29,0.018,0.0539999999999999,0.1079999999999999,29,332,29,5,409.8860994010136,3999.221591291756,0.1061109579500167,0.2421746293245469,0.0,424.0
NCBI785,P07,global,6,10,0.1,0.3,0.6000000000000001,10,115,11,1,290.6695491027832,3543.887672119141,0.1236145560438165,0.3495145631067961,0.0,325.0
NCBI785,P07,global,7,18,0.047,0.141,0.282,18,137,11,2,175.36161944071455,3829.922340223524,0.1107725157357016,0.2691131498470948,0.0,448.0
NCBI785,P07,global,8,6,0.166,0.498,0.996,6,95,9,1,1514.9839558919273,1337.402990722656,0.1044069556473648,0.2688172043010752,0.0,247.0
NCBI785,P07,global,9,54,0.0015,0.0045,0.009,54,213,17,0,1143.977661471897,1126.7312743010343,0.128173811937966,0.2285115303983228,0.060796645702306,422.0
NCBI785,P07,global,10,1,0.5205,1.0,1.0,1,70,7,2,906.7411315917968,1672.7358764648436,0.1,0.2083333333333333,0.0,318.0
NCBI785,P07,global,11,1,0.5205,1.0,1.0,1,60,6,3,2873.9402709960937,376.0368820190429,0.1,0.22,0.0,377.0
NCBI785,P07,technical,0,40,0.2005,0.6015,1.0,40,221,18,0,869.7252281951903,4437.152807006836,0.1263746455624501,0.2448132780082987,0.0,359.0
NCBI785,P07,technical,1,16,0.6995,1.0,1.0,16,114,9,0,2776.0568099975585,1699.2281311035154,0.1121884309608099,0.20703125,0.0,357.0
NCBI785,P07,technical,2,1,1.0,1.0,1.0,1,59,6,0,291.1569839477539,659.7465087890624,0.1016949152542373,0.2085106382978723,0.0297872340425531,287.5
NCBI785,P07,technical,3,1,1.0,1.0,1.0,1,43,5,0,307.11925659179684,1210.539453125,0.1162790697674418,0.1276595744680851,0.0,422.0
NCBI785,P07,technical,4,47,0.1405,0.4215,0.8430000000000001,47,254,18,2,332.5283117091402,3097.1585885555187,0.1179747787872042,0.2334047109207709,0.0,470.5
NCBI785,P07,technical,5,29,0.3885,1.0,1.0,29,332,29,5,409.8860994010136,3999.221591291756,0.1061109579500167,0.2421746293245469,0.0,424.0
NCBI785,P07,technical,6,10,0.8645,1.0,1.0,10,115,11,1,290.6695491027832,3543.887672119141,0.1236145560438165,0.3495145631067961,0.0,325.0
NCBI785,P07,technical,7,18,0.6475,1.0,1.0,18,137,11,2,175.36161944071455,3829.922340223524,0.1107725157357016,0.2691131498470948,0.0,448.0
NCBI785,P07,technical,8,6,0.9585,1.0,1.0,6,95,9,1,1514.9839558919273,1337.402990722656,0.1044069556473648,0.2688172043010752,0.0,247.0
NCBI785,P07,technical,9,54,0.0925,0.2774999999999999,0.5549999999999999,54,213,17,0,1143.977661471897,1126.7312743010343,0.128173811937966,0.2285115303983228,0.060796645702306,422.0
NCBI785,P07,technical,10,1,1.0,1.0,1.0,1,70,7,2,906.7411315917968,1672.7358764648436,0.1,0.2083333333333333,0.0,318.0
NCBI785,P07,technical,11,1,1.0,1.0,1.0,1,60,6,3,2873.9402709960937,376.0368820190429,0.1,0.22,0.0,377.0
NCBI785,P07,context,0,40,0.655,1.0,1.0,40,221,18,0,869.7252281951903,4437.152807006836,0.1263746455624501,0.2448132780082987,0.0,359.0
NCBI785,P07,context,1,16,0.983,1.0,1.0,16,114,9,0,2776.0568099975585,1699.2281311035154,0.1121884309608099,0.20703125,0.0,357.0
NCBI785,P07,context,2,1,1.0,1.0,1.0,1,59,6,0,291.1569839477539,659.7465087890624,0.1016949152542373,0.2085106382978723,0.0297872340425531,287.5
NCBI785,P07,context,3,1,1.0,1.0,1.0,1,43,5,0,307.11925659179684,1210.539453125,0.1162790697674418,0.1276595744680851,0.0,422.0
NCBI785,P07,context,4,47,0.5315,1.0,1.0,47,254,18,2,332.5283117091402,3097.1585885555187,0.1179747787872042,0.2334047109207709,0.0,470.5
NCBI785,P07,context,5,29,0.8685,1.0,1.0,29,332,29,5,409.8860994010136,3999.221591291756,0.1061109579500167,0.2421746293245469,0.0,424.0
NCBI785,P07,context,6,10,0.998,1.0,1.0,10,115,11,1,290.6695491027832,3543.887672119141,0.1236145560438165,0.3495145631067961,0.0,325.0
NCBI785,P07,context,7,18,0.975,1.0,1.0,18,137,11,2,175.36161944071455,3829.922340223524,0.1107725157357016,0.2691131498470948,0.0,448.0
NCBI785,P07,context,8,6,1.0,1.0,1.0,6,95,9,1,1514.9839558919273,1337.402990722656,0.1044069556473648,0.2688172043010752,0.0,247.0
NCBI785,P07,context,9,54,0.4155,1.0,1.0,54,213,17,0,1143.977661471897,1126.7312743010343,0.128173811937966,0.2285115303983228,0.060796645702306,422.0
NCBI785,P07,context,10,1,1.0,1.0,1.0,1,70,7,2,906.7411315917968,1672.7358764648436,0.1,0.2083333333333333,0.0,318.0
NCBI785,P07,context,11,1,1.0,1.0,1.0,1,60,6,3,2873.9402709960937,376.0368820190429,0.1,0.22,0.0,377.0
NCBI784,P07,global,0,70,0.0005,0.0015,0.003,70,374,30,3,636.6258899361746,1476.9195544433592,0.1191193620534375,0.2427536231884058,0.001207729468599,321.5
NCBI784,P07,global,1,158,0.0005,0.0015,0.003,158,791,62,12,679.4317783597149,2184.088043521929,0.1225238364447011,0.2245567957977675,0.0032829940906106,399.0
NCBI784,P07,global,2,126,0.0005,0.0015,0.003,126,393,32,4,1106.5063579256573,2627.890822250124,0.1123614431082626,0.2769679300291545,0.0009718172983479,424.5
NCBI784,P07,global,3,18,0.0315,0.0945,0.189,18,103,9,2,1055.142827351888,3460.5047980414497,0.1651598804137816,0.1713554987212276,0.2941176470588235,329.0
NCBI784,P07,global,4,50,0.0035,0.0105,0.021,50,240,20,3,464.2920842285156,1141.6827564697264,0.1125433497381245,0.2697095435684647,0.0,388.0
NCBI784,P07,global,5,7,0.157,0.471,0.942,7,86,8,0,331.33225010463167,1623.7051182338166,0.1098979696205435,0.3459715639810427,0.0,303.5
NCBI784,P07,global,6,2,0.385,1.0,1.0,2,56,6,0,5416.495715332031,1742.2839721679686,0.1097952629466078,0.3137254901960784,0.2009803921568627,323.0
NCBI784,P07,technical,0,70,0.029,0.087,0.174,70,374,30,3,636.6258899361746,1476.9195544433592,0.1191193620534375,0.2427536231884058,0.001207729468599,321.5
NCBI784,P07,technical,1,158,0.0005,0.0015,0.003,158,791,62,12,679.4317783597149,2184.088043521929,0.1225238364447011,0.2245567957977675,0.0032829940906106,399.0
NCBI784,P07,technical,2,126,0.0025,0.0075,0.015,126,393,32,4,1106.5063579256573,2627.890822250124,0.1123614431082626,0.2769679300291545,0.0009718172983479,424.5
