sample,patient,radius_um,null,mark,n_cells,n_positive,n_strata,n_positive_in_frozen_strata,expected_pairs_analytic,statistic,observed,null_mean,null_sd,null_025,null_975,observed_over_null_mean,p_permutation,p_holm_all_configurations_per_statistic,p_holm_primary_three_sections,p_holm_all_39_localization_configurations
NCBI785,P07,50,global,coexpression,62168,1135,1,0,410.5582048553997,maximum_local_z,10.165226933865704,6.369799390087445,0.6740192874323344,5.311859697000919,7.797371830502131,1.595847264779583,0.0005,0.015,,0.0195
NCBI785,P07,50,technical,coexpression,62168,1135,180,0,427.85789567269,maximum_local_z,7.769315568464535,6.958915186953277,0.9812326079315185,5.598952945261666,9.425294630221437,1.1164549875576315,0.17,1.0,,1.0
NCBI785,P07,50,context,coexpression,62168,1135,709,0,435.9946947307153,maximum_local_z,8.60336385606822,7.598775829574621,1.2295866960190232,5.910497561572224,10.776029964638065,1.1322039298203426,0.206,1.0,,1.0
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,maximum_local_z,9.805029970647112,5.280483748126675,0.6223869585528325,4.336504164159917,6.763923219527511,1.856843129973761,0.0005,0.015,,0.0195
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,maximum_local_z,5.708828743484371,5.4648449336078295,0.7350782969644392,4.385071692316177,7.418065848632792,1.0446460627594545,0.279,1.0,,1.0
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,maximum_local_z,8.400201127145259,8.362653157207104,2.259218033466382,5.931372816557428,14.04724324765035,1.0044899590156735,0.364,1.0,,1.0
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,maximum_local_z,6.248371450722789,5.424427044111076,0.6997533557553184,4.350304943997374,7.100589605937105,1.1518951955499543,0.1135,1.0,,1.0
NCBI785,P07,150,global,coexpression,62168,1135,1,0,2936.0856215588155,maximum_local_z,8.333926375301287,4.735068793517233,0.5994863741913291,3.826754443130684,6.116046338327847,1.7600433570703846,0.0005,0.015,,0.0195
NCBI785,P07,150,technical,coexpression,62168,1135,180,0,3387.8701802431347,maximum_local_z,6.0587084528081725,4.834754222849536,0.6473733205068763,3.880580901234346,6.315809067975846,1.253157487132253,0.044,0.836,,1.0
NCBI785,P07,150,context,coexpression,62168,1135,709,0,3316.202343933772,maximum_local_z,6.126928934314134,4.7811927412175645,0.6128465270864498,3.90221349592648,6.294806851407243,1.2814645353020988,0.033,0.66,,0.792
NCBI784,P07,50,global,coexpression,34650,706,1,0,264.9346675297439,maximum_local_z,11.399533068710053,5.965718430996325,0.690798331408022,4.943134982484791,7.584633347010874,1.9108399433471477,0.0005,0.015,,0.0195
NCBI784,P07,50,technical,coexpression,34650,706,180,0,262.572495986638,maximum_local_z,6.333168211526898,6.190165998857619,0.7988496532761259,4.985413215104865,8.049385955830479,1.0231015149990597,0.3695,1.0,,1.0
NCBI784,P07,50,context,coexpression,34650,706,547,0,273.0770373484813,maximum_local_z,7.387567183174289,6.758052106907093,0.9794641322943948,5.273463157796049,8.974706196581547,1.093150373259744,0.2035,1.0,,1.0
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,maximum_local_z,10.457571729352717,4.954466532365777,0.6405861921201609,3.988034880019498,6.447179481378469,2.1107361733169654,0.0005,0.015,,0.0195
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727684,maximum_local_z,6.74459662287073,5.01285240825422,0.671020262518795,3.99731168445357,6.679556228147061,1.3454608421674257,0.0225,0.4725,,0.5625
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,maximum_local_z,7.325479739840552,6.509122727402475,1.136566218796548,4.921190887368459,9.187902049294914,1.1254173636950078,0.19,1.0,,1.0
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,maximum_local_z,5.167379261796143,5.026058621298717,0.663189313729887,4.026562462652715,6.620221610152531,1.0281175869892478,0.352,1.0,,1.0
NCBI784,P07,150,global,coexpression,34650,706,1,0,1794.1959269702645,maximum_local_z,9.265285403934818,4.470633579405823,0.5850317562528567,3.578559995430539,5.825098343129831,2.0724770302392432,0.0005,0.015,,0.0195
NCBI784,P07,150,technical,coexpression,34650,706,180,0,1982.8774928978687,maximum_local_z,6.95854233179711,4.51513277465197,0.6508950133822903,3.5544460699846976,6.049274813398274,1.5411600675095276,0.0025,0.055,,0.07
NCBI784,P07,150,context,coexpression,34650,706,547,0,1900.9207171343655,maximum_local_z,5.271298279067858,4.456850620431848,0.600511709715973,3.545964152411365,5.879315732725414,1.1827406229193058,0.0935,1.0,,1.0
NCBI783,P08,50,global,coexpression,14453,912,1,0,508.6905379030101,maximum_local_z,4.762021988411771,4.718529844876694,0.5734905436979182,3.7687165278382473,5.994729109433293,1.009217308137258,0.4585,1.0,,1.0
NCBI783,P08,50,technical,coexpression,14453,912,45,0,509.7860769832287,maximum_local_z,4.393280247581004,4.865844065228631,0.6507319026070996,3.8518952767304495,6.493169139873322,0.9028814299610272,0.772,1.0,,1.0
