sample,patient,radius_um,null,mark,n_cells,n_positive,n_strata,n_positive_in_frozen_strata,expected_pairs_analytic,statistic,observed,null_mean,null_sd,null_025,null_975,observed_over_null_mean,p_permutation,p_holm_all_configurations_per_statistic,p_holm_primary_three_sections
NCBI785,P07,50,global,coexpression,62168,1135,1,0,410.55820485539965,positive_pairs,517.0,410.3431715857929,22.115071071886423,370.0,455.0,1.2599210509633343,0.0005,0.015,
NCBI785,P07,50,global,coexpression,62168,1135,1,0,410.55820485539965,qualifying_centers,87.0,37.558279139569784,19.663141136641407,9.0,82.0,2.3164000586049363,0.019,0.285,
NCBI785,P07,50,global,coexpression,62168,1135,1,0,410.55820485539965,maximum_local_z,10.165226933865705,6.3697993900874454,0.6740192874323344,5.311859697000919,7.797371830502131,1.595847264779583,0.0005,0.015,
NCBI785,P07,50,technical,coexpression,62168,1135,180,0,427.85789567269,positive_pairs,517.0,427.0830415207604,21.679901422272575,387.0,472.0,1.2105374124878914,0.0005,0.015,
NCBI785,P07,50,technical,coexpression,62168,1135,180,0,427.85789567269,qualifying_centers,87.0,74.38419209604803,27.51198610814443,28.0,135.0,1.1696033464699316,0.3045,1.0,
NCBI785,P07,50,technical,coexpression,62168,1135,180,0,427.85789567269,maximum_local_z,7.769315568464535,6.958915186953277,0.9812326079315185,5.598952945261666,9.425294630221435,1.1164549875576317,0.17,1.0,
NCBI785,P07,50,context,coexpression,62168,1135,709,0,435.9946947307153,positive_pairs,517.0,436.4017008504252,20.943563449387327,395.0,479.0,1.1846883249824902,0.001,0.015,
NCBI785,P07,50,context,coexpression,62168,1135,709,0,435.9946947307153,qualifying_centers,87.0,79.16158079039519,26.548789858396493,34.0,137.0,1.0990179722453932,0.3565,1.0,
NCBI785,P07,50,context,coexpression,62168,1135,709,0,435.9946947307153,maximum_local_z,8.60336385606822,7.598775829574621,1.2295866960190232,5.910497561572224,10.776029964638065,1.1322039298203426,0.206,1.0,
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,positive_pairs,1803.0,1428.9809904952476,48.2244256995712,1336.0,1529.0,1.2617382680333118,0.0005,0.015,
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,qualifying_centers,224.0,3.8169084542271134,8.014469787396834,0.0,29.0,58.686238532110096,0.0005,0.015,
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,maximum_local_z,9.805029970647112,5.280483748126675,0.6223869585528325,4.336504164159917,6.763923219527511,1.856843129973761,0.0005,0.015,
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,positive_pairs,1803.0,1588.9374687343673,46.539956589529105,1499.95,1684.0,1.1347205509831293,0.0005,0.015,0.0015
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,qualifying_centers,224.0,59.290645322661334,34.81975707865843,9.0,141.0,3.7779990212787498,0.0005,0.015,
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,maximum_local_z,5.708828743484371,5.4648449336078295,0.7350782969644392,4.385071692316177,7.418065848632792,1.0446460627594545,0.279,1.0,
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,positive_pairs,32.0,21.828414207103553,4.734288386129567,13.0,32.0,1.4659791451816202,0.029,0.17400000000000002,
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,qualifying_centers,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,maximum_local_z,8.400201127145259,8.362653157207104,2.259218033466382,5.931372816557428,14.04724324765035,1.0044899590156737,0.364,1.0,
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,positive_pairs,1803.0,1560.8969484742372,46.06972764732113,1469.95,1653.0,1.155105083498572,0.0005,0.015,
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,qualifying_centers,224.0,157.3256628314157,56.69076944343287,62.0,283.04999999999995,1.423798228265086,0.131,1.0,
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,maximum_local_z,6.248371450722789,5.424427044111076,0.6997533557553184,4.350304943997374,7.100589605937105,1.1518951955499543,0.1135,1.0,
NCBI785,P07,150,global,coexpression,62168,1135,1,0,2936.0856215588155,positive_pairs,3684.0,2933.221110555278,82.65122115810637,2779.95,3102.05,1.2559571410225514,0.0005,0.015,
NCBI785,P07,150,global,coexpression,62168,1135,1,0,2936.0856215588155,qualifying_centers,15.0,1.0,4.546060565661952,0.0,11.0,15.0,0.02,0.285,
NCBI785,P07,150,global,coexpression,62168,1135,1,0,2936.0856215588155,maximum_local_z,8.333926375301287,4.735068793517233,0.5994863741913291,3.826754443130684,6.116046338327847,1.7600433570703846,0.0005,0.015,
NCBI785,P07,150,technical,coexpression,62168,1135,180,0,3387.8701802431347,positive_pairs,3684.0,3385.504752376188,81.69395788662338,3226.95,3552.05,1.0881686098400265,0.0005,0.015,
NCBI785,P07,150,technical,coexpression,62168,1135,180,0,3387.8701802431347,qualifying_centers,15.0,10.532766383191596,15.996302184709283,0.0,56.0,1.4241272856803608,0.2345,1.0,
NCBI785,P07,150,technical,coexpression,62168,1135,180,0,3387.8701802431347,maximum_local_z,6.0587084528081725,4.8347542228495355,0.6473733205068763,3.880580901234346,6.315809067975846,1.253157487132253,0.044,0.836,
NCBI785,P07,150,context,coexpression,62168,1135,709,0,3316.2023439337718,positive_pairs,3684.0,3315.51975987994,77.73400195411384,3167.85,3474.0,1.111138001522091,0.0005,0.015,
NCBI785,P07,150,context,coexpression,62168,1135,709,0,3316.2023439337718,qualifying_centers,15.0,47.31865932966483,37.961244224426686,2.0,144.0,0.316999682841738,0.8155,1.0,
NCBI785,P07,150,context,coexpression,62168,1135,709,0,3316.2023439337718,maximum_local_z,6.126928934314134,4.7811927412175645,0.6128465270864498,3.9022134959264796,6.294806851407243,1.2814645353020988,0.033,0.66,
NCBI784,P07,50,global,coexpression,34650,706,1,0,264.9346675297439,positive_pairs,360.0,264.54427213606806,17.180310795704948,232.95,299.04999999999995,1.3608308246221803,0.0005,0.015,
NCBI784,P07,50,global,coexpression,34650,706,1,0,264.9346675297439,qualifying_centers,117.0,33.77888944472236,19.124405283425897,6.0,80.0,3.463701794917363,0.001,0.019,
NCBI784,P07,50,global,coexpression,34650,706,1,0,264.9346675297439,maximum_local_z,11.399533068710051,5.965718430996325,0.690798331408022,4.943134982484791,7.584633347010874,1.9108399433471475,0.0005,0.015,
NCBI784,P07,50,technical,coexpression,34650,706,180,0,262.572495986638,positive_pairs,360.0,262.4727363681841,16.414706047952052,230.0,295.0,1.3715710247902066,0.0005,0.015,
NCBI784,P07,50,technical,coexpression,34650,706,180,0,262.572495986638,qualifying_centers,117.0,44.40020010005002,20.79765521452845,12.0,91.0,2.635123259272613,0.0015,0.027,
NCBI784,P07,50,technical,coexpression,34650,706,180,0,262.572495986638,maximum_local_z,6.333168211526898,6.190165998857619,0.7988496532761259,4.985413215104865,8.049385955830479,1.0231015149990597,0.3695,1.0,
NCBI784,P07,50,context,coexpression,34650,706,547,0,273.0770373484813,positive_pairs,360.0,272.74587293646823,16.90284466839078,241.0,306.0,1.31990998112685,0.0005,0.015,
NCBI784,P07,50,context,coexpression,34650,706,547,0,273.0770373484813,qualifying_centers,117.0,49.84992496248124,20.884387623072957,15.0,97.04999999999995,2.3470446562970397,0.004,0.068,
NCBI784,P07,50,context,coexpression,34650,706,547,0,273.0770373484813,maximum_local_z,7.387567183174289,6.758052106907093,0.9794641322943949,5.273463157796049,8.974706196581547,1.093150373259744,0.2035,1.0,
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,positive_pairs,1128.0,896.0835417708854,38.10609661013566,824.0,971.0,1.2588112016551376,0.0005,0.015,
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,qualifying_centers,431.0,3.6473236618309155,7.0213589191742125,0.0,22.049999999999955,118.16883829378686,0.0005,0.015,
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,maximum_local_z,10.457571729352717,4.954466532365777,0.6405861921201609,3.988034880019498,6.447179481378469,2.1107361733169654,0.0005,0.015,
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,positive_pairs,1128.0,946.767883941971,36.129606939075735,879.0,1021.05,1.1914219093527436,0.0005,0.015,0.0015
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,qualifying_centers,431.0,46.02601300650325,29.885924649473118,4.0,121.0,9.3642697215399,0.0005,0.015,
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,maximum_local_z,6.74459662287073,5.01285240825422,0.671020262518795,3.99731168445357,6.679556228147061,1.3454608421674255,0.0225,0.4725,
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,positive_pairs,24.0,22.69134567283642,5.021004942309929,14.0,34.0,1.0576719576719575,0.3965,0.9750000000000001,
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,qualifying_centers,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,maximum_local_z,7.325479739840552,6.509122727402475,1.136566218796548,4.921190887368459,9.187902049294914,1.1254173636950078,0.19,1.0,
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,positive_pairs,1128.0,920.0360180090045,35.891320541907035,854.95,995.0,1.2260389570845696,0.0005,0.015,
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,qualifying_centers,431.0,134.04702351175587,50.77284383966013,52.0,247.0,3.2152895954620093,0.0005,0.015,
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,maximum_local_z,5.167379261796143,5.026058621298717,0.663189313729887,4.026562462652715,6.620221610152531,1.0281175869892478,0.352,1.0,
